Indirizzo dell'offerta,Ragione Sociale:,Tipo Azienda/Ente:,Descrizione:,Settori di attività:,Nazione:,Provincia:,Comune:,Frazione:,Indirizzo:,CAP:,Nome referente:,Cognome referente:,Telefono:,Email:,Sito web:,Note:
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=5&select=758405,"""RETINAE SOCIETA' A RESPONSABILITA' LIMITATA""",Società di Capitali,Sistemi di visione artificiale per automazione industriale,"Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,ARGELATO,Funo,"V.le della Mercazia, 80",40050,Luca,Bertocchi,0518659633,info@retinae.com,www.retinae.com,
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=7&select=735093,3D INFORMATICA S.R.L.,Società di Capitali,"gestione documentale,banche dati,information retrieval","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,SAN LAZZARO DI SAVENA,,via speranza 35,40068,Ivano,Tarlassi,335 459883,ivan.tarlassi@3di.it,,"Machine Learning, Informatione retrieval, DB NO SQL, Archivistica documentale, Sviluppo software"
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=7&select=1131055,3D4MEC SRL,Società di Capitali,"3D4MEC Srl è una PMI Innovativa per la progettazione
e realizzazione di un nuovo SISTEMA DI STAMPA 3D
mediante tecnologia laser con gestione automatica delle
polveri metalliche (acciaio, acciaio inox, alluminio, titanio...)
con singolo pistone e smart-recoater, in atmosfera
modificata, con profili di stampa e materiali OPEN","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,SASSO MARCONI,,VIA PORRETTANA 48,40037,Ivano,Corsini,3466060608,ivano@3d4mec.com,www.3d4mec.com,"Analisi materiali, sviluppo Hw/Sw, analisi processo tecnologico, meccanica, meccatronica"
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=7&select=611335,3WPS s.r.l.,Società di Capitali,"sviluppo software, consulenza informatica, sviluppo siti web","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,BOLOGNA,,Via Michelino 93/2,40127,mario,lombardini,+39051878821,info@3wps.com,http://www.3wps.com,sviluppo software
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=802934,ABC MARKETING srl,Società di Capitali,"Descrizione	ABC Marketing può per merito ritenersi una agenzia di comunicazione a servizio completo, con una ventennale esperienza operativa nell’ambito della promozione del business-to-business. Conosciamo e utilizziamo tutti i mezzi di comunicazione ma con un approccio concreto alle problematiche ed alle esigenze del Cliente orientato al Marketing: ogni azione deve dare un risultato certo e misurabile. I nostri clienti, dalle PMI locali a quelle nazionali e operanti in mercati internazionali, stanno registrando una interessante fase di crescita del proprio business, grazie anche alla nostra consulenza continuativa. I nostri plus sono nell’offerta integrata di servizi a 360°: dalle ricerche di mercato ai piani di marketing e di sviluppo commerciale, dalla comunicazione pubblicitaria e multimediale all  Web Design, Digital Marketing e Social Media Marketing, dall’organizzazione di concorsi a premio al merchandising al promozionale che vede attiva una Business Unit dedicata: ABC Gadgets.","Servizi alle imprese Attività editoriali, grafiche ed audiovisive Telecomunicazioni e servizi internet Produzione di software, consulenza informatica e attività connesse Formazione Pubblicità e ricerche di mercato",ITALIA,BOLOGNA,BOLOGNA,,Via Tiarini 1,40129,David,D'Alessandro,,job@abcmkt.com,,"Stage: ACCOUNT JUNIOR:  ABC Marketing propone un percorso formativo finalizzato a creare il profilo di Account Junior per attività new business dell'agenzia e/o per la Business Unit del settore Merchandising (www.abcgadgets.it e www.abcgreengadgets.it ). Si richiede Laurea, Master in marketing o comunicazione, precedenti esperienze lavorative o stage in area commerciale, abilità nell'uso del pacchetto Office (Excel, Word, Powerpoint essenziali), conoscenza e uso dei principali Social Network, curiosità e creatività. Riteniamo fattori premianti una seria passione per le tematiche del marketing e della comunicazione multimediale e social media, coltivata con continuità attraverso la frequenza di fiere, convegni e seminari, letture specializzate, quotidiani e periodici, anche on-line. Si offre percorso formativo e tutoraggio e prospettive di inserimento nello staff come Account Executive."
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1301242,ACLI SERVICE DELLA VIA EMILIA S.R.L.,Società di Capitali,Attività di Consulenza e assistenza fiscale a persone fisiche.,"Produzione di software, consulenza informatica e attività connesse Studi legali, notarili e di commercialisti",ITALIA,BOLOGNA,BOLOGNA,,Via delle Lame 116,40122,SIMONE,ZUCCA,,simone.zucca@acli.it,,
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=712392,AKME Societa' Cooperativa,Cooperativa,"SOCIETA' DI SERVIZI STRUMENTALI ALLA PROFESSIONE DI DOTTORE COMMERCIALISTA: SERVIZI DI ELABORAZIONE DATI E SEGRETERIA, C/TERZI, IN CAMPO
CONTABILE, FISCALE E AMMINISTRATIVO. ANALISI E PROGETTAZIONE DI MODELLAZIONI NECESSARIE ALLA CREAZIONE DI ALGORITMI E APPLICAZIONI DI SOFTWARE E DATA BASE. ELABORAZIONE E REALIZZAZIONE DI REPORT SPECIFICI OTTENUTI IN BASE ALLE INFORMAZIONI MULTIMEDIALI, IN CAMPO STRATEGICO E ORGANIZZATIVO. COMMERCIO AL DETTAGLI DI PRODOTTI EDITORIALI. REALIZZAZIONE E GESTIONE DI CORSI DI FORMAZIONE IN AMBITO SOFTWARE E DELLA COMUNICAZIONE.","Altre attività Servizi alle imprese Attività editoriali, grafiche ed audiovisive Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,IMOLA,,VIA COGNE N.35,40026,Luca,Martini,3351289634,martini@akmecorporate.it,,"Programmazione prototipo Ysarmute, per saperne di piu: https://www.igi-global.com/chapter/does-the-algorithm-heal-a-company-organization/296558  e se interessa telefona a 335.1289634 per avere la copia gratuita. 
Occorre però essere esperti programmatori dei seguenti linguaggi:
La parte Front End è composta con HTML per la struttura e CSS per la grafica, JavaScript per le dinamiche di funzionamento interne. Per quanto riguarda i back end la logica viene affidata a Java che grazie a VertX gestisce in maniera asincrona le richieste dal client. La struttura è stata pensata per gestire dimensioni di file notevoli per questo ogni pacchetto viene suddiviso in ""chunks""(pezzi) quindi vengono inviati al server e con 3-way handshake avviene la conferma della ricezione. Date le caratteristiche necessità del sistema viene utilizzato un db no-SQL, fireBird. All'interno di una pagina HTML possiamo avere più stringhe parametrizzate. La scelta è ricaduta su Angular un particolare frame work sviluppato in TypeScript molto utilizzato nei sistemi moderni e famoso per la sua velocità nei browser più moderni. Abbiamo usato come tag HTML per la lavagna i tag ""canvas""."
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1798882,ALTAIR S.P.A.,Società di Capitali,"Primario operatore per lo sviluppo di iniziative in Partenariato Pubblico Privato, nonché progettazione, costruzione e gestione di opere nel settore dei servizi cimiteriali, crematori. 
Gruppo Altair vanta circa 400 tra dipendenti e collaboratori, opera in 13 Regioni sul territorio italiano ed è in costante crescita.","Produzione di software, consulenza informatica e attività connesse Studi di consulenza organizzativa, aziendale e del lavoro Edilizia Industriale, Residenziale e Commerciale Commercio all'ingrosso e al dettaglio Servizi per gli edifici e il paesaggio",ITALIA,BOLOGNA,BOLOGNA,,VIA DELL ARCOVEGGIO 74,40129,Paola,Rangoni,0514173959,hr@gruppoaltair.it,https://gruppoaltair.it/career.php,"Ufficio amministrativo di Bologna.
In particolar modo il tirocinante potraÃÂ sviluppare le proprie competenze in tema di:
- fatturazione attiva-passiva IT/UE/EXTRA UE (registrazione e controllo);
- gestione e registrazione cespiti;
- pagamento fornitori e relativa registrazione;
- registrazione incassi e solleciti a clienti;
- riconciliazioni bancarie;
- gestione registri contabili;
- gestione libri societari, gestione posta certificata e corrispondenza."
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=611086,ALTERNA S.R.L.,Società di Capitali,"Azienda di Information technology, Microsoft gold certified partner per le soluzioni gestionali.","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,CASALECCHIO DI RENO,,Via Isonzo 61,40033,simona,Chiodin,0323/280811,recruiting@alteanet.it,http://www.alternanet.it/,"Marketing e Comunicazione, Programmazione, Consulenza applicazioni Gestionali"
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1388933,ALTERNATIVE GROUP S.R.L.,Società di Capitali,"progettazione in ambito di comunicazione, pubblicità, immagine e marketing in genere, compresa la realizzazione di campagne pubblicitarie e comunicative,produzione di software, produzione ed il commercio di articoli promozionali, anche innovativi, di merchandising","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,BOLOGNA,,VIA INNOCENZO MALVASIA 14,40131,,,,,,
